rxns	TCGA-44-6148-11	TCGA-50-5939-11	TCGA-49-6761-11	TCGA-55-6971-11	TCGA-91-6835-11	TCGA-38-4632-11	TCGA-49-6745-11	TCGA-44-2668-11	TCGA-91-6831-11	TCGA-55-6982-11
ACACT5p	1	1	1	1	1	1	1	1	1	1
ACACT6p	1	1	1	1	1	1	1	1	1	1
ACACT7p	1	1	1	1	1	1	1	1	1	1
ACACtx	1	1	1	1	1	1	1	1	1	1
ACALDt	1	0	1	1	0	0	0	0	0	0
ACALDtm	1	1	1	1	1	1	1	1	1	1
ACALDtr	0	0	0	0	0	0	0	0	0	0
ACALDtx	1	1	1	1	1	1	1	1	1	1
ACCOAC	1	1	1	1	1	1	1	1	1	1
ACCOACm	1	1	1	1	1	1	1	1	1	1
ACCOAgt	1	1	1	1	1	1	1	1	1	1
ACCOAL	1	1	1	1	1	1	1	1	1	1
ACCOALm	1	1	1	1	1	1	1	1	1	1
ACCOAtn	0	0	0	0	0	0	0	0	0	0
ACCOAtr	1	1	1	1	1	1	1	1	1	1
ACETONEt2	1	1	1	1	1	1	1	1	1	1
ACETONEt2m	1	1	1	1	1	1	1	1	1	1
ACGAGBSIDEtg	1	1	1	1	1	1	1	1	1	1
ACGAGBSIDEtl	1	1	1	1	1	1	1	1	1	1
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte	1	1	1	1	1	1	1	1	1	1
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg	1	1	1	1	1	1	1	1	1	1
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte	1	1	1	1	1	1	1	1	1	1
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg	1	1	1	1	1	1	1	1	1	1
ACGALK	0	0	1	0	0	0	0	0	0	0
ACGALK2	1	1	0	1	1	1	1	1	1	1
ACGALtlg	0	0	1	0	1	0	0	1	0	0
ACGALtly	1	1	1	1	1	1	1	1	1	1
ACGAM2E	1	1	1	1	1	1	1	1	1	1
ACGAM6PSi	1	1	1	1	1	1	1	1	1	1
ACGAMK	1	1	1	1	1	1	1	1	1	1
ACGAMPM	1	1	1	1	1	1	1	1	1	1
ACGAMtly	1	1	1	1	1	1	1	1	1	1
ACGBGBSIDEtg	0	0	1	0	1	0	0	1	0	0
ACGBGBSIDEtl	0	0	1	0	1	0	0	1	0	0
ACGPID	1	1	1	1	1	1	1	1	1	1
ACHEe	0	0	0	1	0	0	0	1	0	0
ACHtn	0	0	0	0	0	0	0	0	0	0
ACHVESSEC	0	0	0	0	0	0	0	0	0	0
ACITL	1	1	1	1	1	1	1	1	1	1
